addr,size,kind,bind,section,demangled,mangled
0x000003f0,0,NOTYPE,STB_LOCAL,4,v1c_setMem_xyzwDblOfst,v1c_setMem_xyzwDblOfst
0x000003f8,0,NOTYPE,STB_LOCAL,4,v1c_setMem_xyzwDbl,v1c_setMem_xyzwDbl
0x000003fd,0,NOTYPE,STB_LOCAL,SHN_ABS,m_p2uv_x2,m_p2uv_x2
0x000003fe,0,NOTYPE,STB_LOCAL,SHN_ABS,m_p2uv_x3,m_p2uv_x3
0x000003ff,0,NOTYPE,STB_LOCAL,SHN_ABS,t_move_,t_move_
0x00000400,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_gifBufsEnd,v1m_gifBufsEnd
0x00000408,0,NOTYPE,STB_LOCAL,4,v1c_setMem_xyzwOfst,v1c_setMem_xyzwOfst
0x00000410,0,NOTYPE,STB_LOCAL,4,v1c_setMem_xyzw,v1c_setMem_xyzw
0x00000470,0,NOTYPE,STB_LOCAL,4,v1c_setMem_xyzU32,v1c_setMem_xyzU32
0x00000480,0,NOTYPE,STB_LOCAL,4,v1c_setMem_xyzQuadOfst,v1c_setMem_xyzQuadOfst
0x00000488,0,NOTYPE,STB_LOCAL,4,v1c_setMem_xyzQuad,v1c_setMem_xyzQuad
0x00000498,0,NOTYPE,STB_LOCAL,4,v1c_setMem_xyzDblOfst,v1c_setMem_xyzDblOfst
0x000004a0,0,NOTYPE,STB_LOCAL,4,v1c_setMem_xyzDbl,v1c_setMem_xyzDbl
0x000004b0,0,NOTYPE,STB_LOCAL,4,v1c_setMem_xyzOfst,v1c_setMem_xyzOfst
0x000004b8,0,NOTYPE,STB_LOCAL,4,v1c_setMem_xyz,v1c_setMem_xyz
0x000004d8,0,NOTYPE,STB_LOCAL,12,invertBone_,invertBone_
0x00000508,0,NOTYPE,STB_LOCAL,4,v1c_setMem_bcXyzU32,v1c_setMem_bcXyzU32
0x00000518,0,NOTYPE,STB_LOCAL,4,v1c_setMem_bcXyzQuadOfst,v1c_setMem_bcXyzQuadOfst
0x00000520,0,NOTYPE,STB_LOCAL,4,v1c_setMem_bcXyzQuad,v1c_setMem_bcXyzQuad
0x00000520,0,NOTYPE,STB_LOCAL,12,QuatToMtxSubr,QuatToMtxSubr
0x00000530,0,NOTYPE,STB_LOCAL,4,v1c_setMem_bcXyzDblOfst,v1c_setMem_bcXyzDblOfst
0x00000538,0,NOTYPE,STB_LOCAL,4,v1c_setMem_bcXyzDbl,v1c_setMem_bcXyzDbl
0x00000548,0,NOTYPE,STB_LOCAL,4,v1c_setMem_bcXyzOfst,v1c_setMem_bcXyzOfst
0x00000550,0,NOTYPE,STB_LOCAL,4,v1c_setMem_bcXyz,v1c_setMem_bcXyz
0x00000580,0,NOTYPE,STB_LOCAL,4,v1c_setMem_bcXyzwU32,v1c_setMem_bcXyzwU32
0x00000590,0,NOTYPE,STB_LOCAL,4,v1c_setMem_bcXyzwQuadOfst,v1c_setMem_bcXyzwQuadOfst
0x00000598,0,NOTYPE,STB_LOCAL,4,v1c_setMem_bcXyzwQuad,v1c_setMem_bcXyzwQuad
0x000005a8,0,NOTYPE,STB_LOCAL,4,v1c_setMem_bcXyzwDblOfst,v1c_setMem_bcXyzwDblOfst
0x000005a8,0,NOTYPE,STB_LOCAL,12,pitchRollYawToQuat_,pitchRollYawToQuat_
0x000005a8,0,NOTYPE,STB_LOCAL,12,v0_endCode,v0_endCode
